pl_name,detection,T0,T0_err+,T0_err-,period,period_err+,period_err-,T14,T14_err+,T14_err-,lambda,lambda_err+,lambda_err-,incl,incl_err+,incl_err-,b,b_err+,b_err-,pl_radius,pl_radius_err+,pl_radius_err-,aRs,aRs_err+,aRs_err-,st_radius,st_radius_err+,st_radius_err-,ecc,ecc_err+,ecc_err-,st_mass,st_mass_err+,st_mass_err-,RpRs,RpRs_err+,RpRs_err-
Kepler-247 b,Transit,2454968.3129,0.00118,0.00118,3.33616,7e-06,7e-06,2.077,0.036,0.036,,,,88.88,,,0.14,0.24,0.24,1.64,0.46,0.46,12.255,0.371,0.371,0.77,0.21,0.21,0.0,,,0.84,0.04,0.04,0.01906,0.00078,0.00036
Kepler-247 c,Transit,2455010.18536,0.00042,0.00042,9.439452,7e-06,7e-06,2.896,0.017,0.017,,,,89.89,,,0.14,0.15,0.15,4.09,1.14,1.14,26.081,0.65,0.65,0.77,0.21,0.21,0.0,,,0.84,0.04,0.04,0.05026,0.00051,0.00041
Kepler-247 d,Transit,2455011.66798,0.00068,0.00068,20.477912,2.6e-05,2.6e-05,3.068,0.034,0.034,,,,89.43,,,0.13,0.2,0.2,3.94,1.1,1.1,50.0,13.0,13.0,0.77,0.21,0.21,0.0,,,0.84,0.04,0.04,0.03438,0.0036,0.00118
Kepler-248 b,Transit,2455007.04657,0.00089,0.00089,6.308205,1e-05,1e-05,3.008,0.033,0.033,,,,89.9,,,0.38,0.2,0.2,3.02,0.36,0.36,16.707,0.156,0.156,0.83,0.1,0.1,0.0,,,0.9,0.02,0.02,0.03242,0.00091,0.00036
Kepler-248 c,Transit,2455008.56901,0.00079,0.00079,16.239494,2.4e-05,2.4e-05,4.03,0.036,0.036,,,,89.92,,,0.08,0.19,0.19,4.07,0.49,0.49,32.02,0.186,0.186,0.83,0.1,0.1,0.0,,,0.9,0.02,0.02,0.04622,0.00087,0.00034
Kepler-249 b,Transit,2454967.371,0.00173,0.00173,3.306539,1e-05,1e-05,1.767,0.052,0.052,,,,90.0,,,0.26,0.22,0.22,1.09,0.05,0.05,14.19,0.282,0.282,0.48,0.02,0.02,0.0,,,0.51,0.02,0.02,0.02028,0.0007,0.00044
Kepler-249 c,Transit,2455007.32459,0.0014,0.0014,7.113702,1.8e-05,1.8e-05,2.219,0.056,0.056,,,,89.21,,,0.79,0.31,0.31,1.51,0.09,0.09,24.23,6.8,6.8,0.48,0.02,0.02,0.0,,,0.51,0.02,0.02,0.02586,0.00057,0.0008
Kepler-249 d,Transit,2454980.38889,0.00254,0.00254,15.368459,7e-05,7e-05,2.697,0.069,0.069,,,,89.86,,,0.9,0.24,0.24,1.57,0.14,0.14,48.38,2.3,2.3,0.48,0.02,0.02,0.0,,,0.51,0.02,0.02,0.02628,0.00068,0.00074
Kepler-25 b,Transit,2455703.42004,0.00012,0.00011,6.238297,1.7e-05,1.7e-05,3.54393,0.0089,0.0089,,,,92.827,0.084,0.083,0.54,0.01,0.01,2.748,0.038,0.035,13.7795,0.0537,0.0537,1.32,0.02,0.02,0.0029,0.0023,0.0017,1.17,0.03,0.03,0.01916,5e-05,5e-05
Kepler-25 c,Transit,2455711.15013,0.00014,0.00014,12.7207,0.00011,0.0001,2.862,0.006,0.006,9.4,7.1,7.1,92.764,0.042,0.039,0.88,0.0,0.0,5.217,0.07,0.065,18.44,0.11,0.11,1.32,0.02,0.02,0.0061,0.0049,0.0041,1.17,0.03,0.03,0.03637,0.00012,0.00012
